2000
     84018	     39438	 392
     79844	     91164	  99
     33522	     76822	 139
     55396	     47739	 315
     36478	     51340	 477
     91619	     63571	 359
     14160	     60696	   9
     24288	     13723	 403
     15667	     40094	  65
     10880	     99892	 110
     51293	     83911	 307
     29603	     63755	 263
     49358	     97277	 147
     77135	     52674	 385
     40022	     89152	 142
     35245	     80772	 460
      6975	     94932	 263
      8605	     19221	 332
     89023	     34889	  33
      2002	     45770	  32
     23827	     97063	 452
     85091	     26666	 270
     37520	     76024	 257
     66772	     53160	  20
     43763	     93183	 466
     72095	     28429	 370
     63997	     35404	 344
     16597	     44010	 441
     82920	     33033	 115
     89337	     35036	 344
     95646	     58864	 329
     85867	     43955	 462
     39843	     81476	 343
     91097	     48249	 108
     95025	     92012	  74
     88106	     64108	 216
     61959	     28105	 394
     30745	     44703	 114
     18753	     27623	 279
     41650	     16960	 454
     10317	     12607	 248
     76047	     98475	 468
     68444	     38318	 375
     36866	     29416	 117
     58448	     24441	  77
     73214	     12547	 397
     16410	     74507	  38
     95010	      5252	 261
     17621	     24006	 399
     73265	     65656	 484
     63945	     75973	  47
     13490	     52021	  40
      6990	     20465	 231
     81967	     57331	 378
      5193	     15780	 500
     20432	     88995	  63
     99779	      5405	 436
      7232	       416	 462
     59389	     18037	  82
     39169	     91302	 410
     35909	     55248	 290
     45257	     68738	  50
     53080	     75729	 153
     99222	     57697	 439
     74780	     62890	  18
     74780	     83323	 463
     87327	     83103	 490
     74381	     90336	 492
     66688	     49725	  82
     83001	     88894	  39
     64970	     24804	 315
     22913	     70061	 159
     32877	     23142	  38
     63307	     22365	 326
     51068	     97146	 141
     54610	     71926	  57
     47148	     59253	 473
     45091	     33635	 424
     43451	       323	 173
     59848	     83324	 117
     67547	     48295	 241
     30495	     71208	  92
     62182	      4086	 207
     69598	     67393	 319
     34711	     18462	 305
     62715	     73072	 165
     74043	     20221	 461
     68475	     65313	 129
     53244	      8764	 131
     87738	     68612	  47
     11127	     36160	 289
     59321	     66655	 145
     77576	     28837	 165
     18975	     98436	   2
     82739	     33147	  95
     43649	     95863	 460
     76487	     69907	  61
     68578	     38383	 388
     94305	     91627	 431
     20354	     79365	 275
     29728	     90493	 455
     87397	     49814	 289
     16275	     27391	 433
     49239	     46366	 425
     49597	     29105	  91
     68417	     72755	  70
